DESCRIPTION,SERVICE OPTION,HIGHLIGHTS,ACCESSIBILITY,OFFERINGS,DINING OPTIONS,AMENITIES,ATHMOSPHERE,CROWD,PLANNING,PAYMENTS
-,Tempat duduk di area terbuka,Pelayanan cepat,Pintu masuk khusus pengguna kursi roda,Alkohol,Sarapan,Cocok untuk anak-anak,Kelas atas,Berkelompok,Menerima reservasi,Kartu debit
,Antar tanpa bertemu,,,Bir,Brunch,Kursi tinggi,Nyaman,Ramah keluarga,,Pembayaran NFC dengan ponsel
,Pesan antar,,,Cepat saji,Makan siang,Memiliki bar,Santai,,,Kartu kredit
,Bawa pulang,,,Hidangan larut malam,Makan malam,Toilet,,,,
,Makan di tempat,,,Koktail,Hidangan penutup,Toilet netral gender,,,,
,,,,Kopi,Tempat duduk,Wi-Fi,,,,
,,,,Makanan halal,,Wi-Fi Gratis,,,,
,,,,Makanan happy hour,,,,,,
,,,,Menu untuk anak-anak,,,,,,
,,,,Minuman keras,,,,,,
,,,,Pilihan menu sehat,,,,,,
,,,,Pilihan menu vegetarian,,,,,,
,,,,Salad prasmanan,,,,,,
,,,,Wine,,,,,,
